Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Packaging Date
102170037228,,024170118656,00000000000917733289,0602485328,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118656,00000000000917733289,0602485329,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118656,00000000000917733289,0602485341,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118656,00000000000917733289,0602485602,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118656,00000000000917733289,0602485669,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118656,00000000000917733289,0602485673,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118658,00000000000917733818,0602485323,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485332,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485370,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485471,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485566,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485677,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485685,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118658,00000000000917733818,0602485699,0261S19174,0000,570,28/09/2017 03:11:37
102170037228,,024170118662,00000000000917733819,0602485177,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602485220,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602485289,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602485371,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602485573,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602485674,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602485684,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118662,00000000000917733819,0602487953,0261S19174,0000,570,28/09/2017 03:09:56
102170037228,,024170118664,00000000000917733840,0602485272,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485561,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485564,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485568,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485569,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485570,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485577,0261S19174,0000,570,28/09/2017 03:12:55
102170037228,,024170118664,00000000000917733840,0602485676,0261S19174,0000,570,28/09/2017 03:12:55
